time,chest_ax,chest_ay,chest_az,chest_gx,chest_gy,chest_gz,leftankle_ax,leftankle_ay,leftankle_az,leftankle_gx,leftankle_gy,leftankle_gz,leftwrist_ax,leftwrist_ay,leftwrist_az,leftwrist_gx,leftwrist_gy,leftwrist_gz,rightankle_ax,rightankle_ay,rightankle_az,rightankle_gx,rightankle_gy,rightankle_gz,rightwrist_ax,rightwrist_ay,rightwrist_az,rightwrist_gx,rightwrist_gy,rightwrist_gz,lumbar_ax,lumbar_ay,lumbar_az,lumbar_gx,lumbar_gy,lumbar_gz,gait_paradigma_rightwrist,gait_paradigma_leftwrist
2022-06-09 15:29:05.008261120,-0.921142578125,-0.073974609375,-0.395263671875,-0.3662109375,1.15966796875,-0.244140625,0.0517578125,0.923828125,-0.212158203125,0.1220703125,-0.18310546875,-0.06103515625,-0.572998046875,0.5361328125,0.615478515625,0.1220703125,-0.18310546875,-0.06103515625,0.04833984375,-1.025634765625,-0.164306640625,-0.1220703125,-0.06103515625,0.06103515625,-0.599853515625,-0.577392578125,0.65283203125,-0.67138671875,-0.30517578125,-0.06103515625,-0.96435546875,0.006591796875,0.120849609375,-56.33544921875,24.2919921875,-28.25927734375,-0.4900626310459559,-0.6100290496190559
2022-06-09 15:29:05.018422528,-0.924072265625,-0.07470703125,-0.39990234375,-0.42724609375,1.15966796875,-0.244140625,0.05419921875,0.923583984375,-0.2099609375,0.18310546875,-0.18310546875,-0.1220703125,-0.571533203125,0.533935546875,0.615234375,0.1220703125,-0.30517578125,-0.06103515625,0.04833984375,-1.025634765625,-0.159423828125,-0.1220703125,-0.06103515625,0.0,-0.6015625,-0.578125,0.654052734375,-0.67138671875,-0.06103515625,-0.244140625,-0.96484375,0.005615234375,0.11767578125,-56.33544921875,24.90234375,-28.1982421875,-0.48045268240741795,-0.5979375527337126
2022-06-09 15:29:05.028584192,-0.922607421875,-0.07177734375,-0.39892578125,-0.30517578125,1.220703125,-0.244140625,0.05078125,0.924072265625,-0.209228515625,0.1220703125,-0.06103515625,-0.18310546875,-0.5673828125,0.534423828125,0.61474609375,0.18310546875,-0.3662109375,-0.06103515625,0.04736328125,-1.02685546875,-0.159912109375,-0.18310546875,0.1220703125,0.06103515625,-0.6015625,-0.578857421875,0.651123046875,-0.8544921875,0.0,-0.244140625,-0.971923828125,0.0048828125,0.11474609375,-56.2744140625,25.57373046875,-28.25927734375,-0.4694373270763262,-0.5860106644429975
2022-06-09 15:29:05.038745856,-0.921630859375,-0.074462890625,-0.3994140625,-0.3662109375,1.28173828125,-0.3662109375,0.050537109375,0.923828125,-0.20849609375,0.1220703125,-0.1220703125,-0.06103515625,-0.568359375,0.53369140625,0.61669921875,0.244140625,-0.06103515625,-0.06103515625,0.047119140625,-1.025634765625,-0.156982421875,-0.18310546875,0.18310546875,0.06103515625,-0.604248046875,-0.576904296875,0.651611328125,-0.732421875,-0.06103515625,-0.30517578125,-0.977294921875,0.005859375,0.11669921875,-56.15234375,25.45166015625,-28.3203125,-0.4578612837894415,-0.5743902087233073
2022-06-09 15:29:05.048907520,-0.921875,-0.07421875,-0.398681640625,-0.48828125,1.3427734375,-0.3662109375,0.0517578125,0.92041015625,-0.211181640625,0.06103515625,0.0,0.06103515625,-0.5693359375,0.533203125,0.615234375,0.18310546875,0.0,0.0,0.04833984375,-1.027099609375,-0.160400390625,-0.18310546875,0.06103515625,0.06103515625,-0.604248046875,-0.575439453125,0.654052734375,-0.8544921875,-0.244140625,-0.244140625,-0.974609375,0.005126953125,0.1162109375,-56.21337890625,24.4140625,-28.25927734375,-0.4461454928579224,-0.5630292331079436
2022-06-09 15:29:05.059069184,-0.92236328125,-0.07568359375,-0.396484375,-0.42724609375,1.40380859375,-0.3662109375,0.051025390625,0.923095703125,-0.213134765625,0.18310546875,-0.18310546875,0.0,-0.56982421875,0.533447265625,0.614990234375,0.30517578125,-0.06103515625,0.0,0.048828125,-1.0263671875,-0.16455078125,-0.244140625,-0.06103515625,0.06103515625,-0.603515625,-0.57568359375,0.6513671875,-1.15966796875,-0.244140625,-0.18310546875,-0.969482421875,0.005126953125,0.1181640625,-56.2744140625,23.86474609375,-28.1982421875,-0.4332564472053209,-0.5520990667600068
2022-06-09 15:29:05.069230592,-0.923828125,-0.073974609375,-0.39892578125,-0.244140625,1.3427734375,-0.42724609375,0.0517578125,0.9228515625,-0.215087890625,0.18310546875,-0.18310546875,-0.06103515625,-0.568603515625,0.536865234375,0.617919921875,0.42724609375,-0.06103515625,0.0,0.04833984375,-1.026123046875,-0.163818359375,-0.18310546875,-0.1220703125,0.0,-0.601806640625,-0.575927734375,0.65234375,-1.0986328125,0.0,-0.1220703125,-0.967041015625,0.006103515625,0.1171875,-56.21337890625,24.169921875,-28.1982421875,-0.4198029988642764,-0.5418121243468615
2022-06-09 15:29:05.079392256,-0.92431640625,-0.07275390625,-0.40087890625,-0.1220703125,1.03759765625,-0.54931640625,0.0498046875,0.92431640625,-0.210205078125,0.18310546875,-0.06103515625,-0.06103515625,-0.5673828125,0.538818359375,0.61865234375,0.244140625,0.06103515625,-0.06103515625,0.047119140625,-1.026611328125,-0.1640625,-0.18310546875,-0.1220703125,0.0,-0.607666015625,-0.577392578125,0.65283203125,-1.15966796875,-0.1220703125,-0.1220703125,-0.96875,0.004638671875,0.116455078125,-56.15234375,24.90234375,-28.25927734375,-0.40640116846871366,-0.5311168910529784
2022-06-09 15:29:05.089553920,-0.921630859375,-0.0712890625,-0.40087890625,-0.06103515625,0.6103515625,-0.48828125,0.05029296875,0.924072265625,-0.209716796875,0.1220703125,-0.06103515625,-0.06103515625,-0.569091796875,0.537353515625,0.616943359375,0.18310546875,0.1220703125,-0.06103515625,0.04736328125,-1.025634765625,-0.16259765625,-0.1220703125,-0.06103515625,0.0,-0.603759765625,-0.577392578125,0.650390625,-1.40380859375,-0.48828125,-0.06103515625,-0.9716796875,0.006103515625,0.116943359375,-56.09130859375,24.90234375,-28.1982421875,-0.3920229700595255,-0.5195470431463933
2022-06-09 15:29:05.099715584,-0.919921875,-0.0712890625,-0.40185546875,0.0,0.3662109375,-0.30517578125,0.052001953125,0.921875,-0.21044921875,0.18310546875,-0.1220703125,0.06103515625,-0.5693359375,0.53515625,0.614013671875,0.30517578125,0.18310546875,-0.06103515625,0.047607421875,-1.023193359375,-0.162353515625,-0.1220703125,0.0,0.0,-0.603759765625,-0.578857421875,0.65087890625,-1.46484375,-0.48828125,-0.1220703125,-0.9716796875,0.008056640625,0.11474609375,-56.2744140625,24.4140625,-28.3203125,-0.3764698202495249,-0.5081572732830876
